Context,Question,Chosen_Strategy,Model_Reason
"Tinh dầu vỏ bưởi có 26% xitrala và este. Vỏ quả bưởi, ngoài việc chứa nhiều tinh dầu còn chứa pectin, naringin, các men peroxydaza, amylaza, đường ramnoza, vitamin A, C, hesperidin.. Chính vì vậy mà ngày nay, loại dược liệu này có nhiều ứng dụng trong y học.",Este trong vỏ bưởi chiếm bao nhiêu phần trăm?,SIMPLE,"""Tinh dầu vỏ bưởi có 26% xitrala và este."" This means that the percentage of ester in the peel of the orange is"
"Cụm hoa, cành và lá.",Bộ phận nào của Cúc Bách nhật được sử dụng phổ biến nhất?,SIMPLE,"The answer can be directly extracted from the given context, which lists the parts of the Cúc Bách nhật flower."
"Ung thư ruột non không có triệu chứng rõ ràng. Phần tá tràng sẽ có các triệu chứng của bệnh viêm loét dạ dày tá tràng hoặc xuất huyết dạ dày. Phần hồi tràng sẽ có các triệu chứng của đại tràng lên. Các triệu chứng một khi đã rõ ràng thì hầu như bệnh đã vào giai đoạn muộn. Các triệu chứng mơ hồ, gồm: - Đau bụng, thượng vị hoặc quanh rốn.
- Buồn nôn, nôn.
- Sụt cân, mệt mỏi.
- Thiếu máu (thiếu máu toàn thể). Tiêu phân đen.
- Tiêu chảy với hội chứng lị và tiêu nhầy.
- Nếu khối u ở vùng tá tràng, có thể có các triệu chứng liên quan đến đường gan – mật – tụy như vàng mắt, vàng da, tiêu phân bạc màu…
- Khi khối u lớn lên sẽ có các triệu chứng của hội chứng chèn ép: Buồn nôn, nôn, tắc ruột, bí trung đại tiện… Tắc ruột xuất hiện trong 15 – 35% các trường hợp. Có thể sờ được khối u nếu khối u lớn ở 10 – 20% trường hợp.
- Thủng ruột: Xuất hiện ở 10% các trường hợp. Xem thêm: 9 điều cần biết về bệnh viêm loét dạ dày: Căn bệnh ngày càng phổ biến",Ung thư ruột non xuất hiện tắc ruột trong bao nhiêu phần trăm các trường hợp?,SIMPLE,"The answer is explicitly stated in the context as ""Tắc ruột xuất hiện trong 15 – 35% các trường hợp."" This is a direct statement and does not require any synthesis of information from multiple"
" Nếu không có bệnh lý về cấu trúc hay mạch máu nào gây ra đau đầu, bác sĩ có thể cho dùng thuốc đều đặn để ngừa đau đầu:  - Indomethacin (Indocin, Tivorbex), một loại thuốc kháng viêm, thường được sử dụng.
- Propranolol (Inderal, Innopran XL), một loại thuốc huyết áp, cũng có thể ngăn ngừa cơn đau đầu do vận động.  Các loại thuốc khác, bao gồm naproxen (Naprosyn), phenelzine (Nardil) và ergonovine, đã được chứng minh có hiệu quả đối với một số người.  Nếu bạn có thể dự đoán trước khi nào cơn đau đầu xảy ra, bạn có thể uống thuốc trước khi vận động 1 đến 2 giờ. Chẳng hạn như khi chơi tennis hoặc leo núi. Nếu đau đầu thường xuyên và khó dự đoán, bạn cần uống thuốc dự phòng mỗi ngày.","Ngoài Indomethacin, còn loại thuốc nào khác có thể ngừa đau đầu?",SIMPLE,"The answer can be directly extracted from the given information without needing to synthesize information from multiple, non-consecutive parts."
"Thuốc có dạng bột, hòa tan với nước để uống. Thuốc được khuyến cáo sử dụng sau bữa ăn.",Thời gian uống Acepron 250 mg là khi nào?,SIMPLE,"The context explicitly states the recommended time for taking the medication, which is after meals."
"Nên thận trọng, cân nhắc giữa lợi ich và nguy cơ khi sử dụng Bisolvon 8mg cho phụ nữ mang thai vì dữ liệu sử dụng bromhexin cho phụ nữ mang thai còn hạn chế. Nhiều thử nghiệm trên động vật không cho thấy bromhexin tác dụng gây hại đến độc tính sinh sản.",Phụ nữ mang thai có thể sử dụng Bisolvon 8mg không?,SIMPLE,"The question can be directly answered by the information provided in the context without needing to synthesize information from multiple parts. The context explicitly states that there is no clear recommendation or prohibition, just a caution about the use."
"- Đau đầu.
- Hụt hơi.
- Thở khò khè.
- Ho.
- Nhiều người bị sốt cỏ khô cũng bị hen suyễn. Nếu bạn bị cả sốt cỏ khô và hen suyễn, thì các chất gây dị ứng theo mùa của bạn có thể kích hoạt cơn hen suyễn.","Khi mắc cả sốt cỏ khô và hen suyễn, điều gì có thể xảy ra?",SIMPLE,"The answer can be directly extracted from the given context, which states that if someone has both hay fever and asthma, then the seasonal allergy triggers can cause an asthma attack."
"Cao dừa cạn được dùng điều trị bệnh cao huyết áp trên lâm sàng có tác dụng giảm huyết áp trên bệnh nhân rõ rệt, giảm cả trị số tâm thu và tâm trương. Việc điều trị đơn giản, dễ áp dụng, chưa ghi nhận biến chứng ngộ độc.",Việc điều trị bệnh cao huyết áp bằng cao dừa cạn có đơn giản và dễ áp dụng không ?,SIMPLE,The question can be directly answered with a simple 'yes' or 'no' based on the information provided in the context.
"Thân rễ ngắn, cứng chắc, đôi khi còn sót lại gốc của thân ờ đình. Rễ hình trụ dài, hơi cong, có khi phân nhánh và có rễ con dài 10 cm đến 20 cm, đường kính 0,3 cm đến 1 cm. Mặt ngoài màu đỏ nâu hoặc đỏ nâu tối, thô ráp, có vân nhãn dọc. Vỏ rễ già có màu nâu tía, thường bong ra. Chất cứng và giòn, mặt bẻ gãy không chắc có vết nứt, hoặc hơi phẳng và đặc, phần vỏ màu đỏ nâu và phần gỗ màu vàng xám hoặc màu nâu tía với bó mạch màu trắng vàng, xếp theo hướng xuyên tâm. Mùi nhẹ, vị hơi đắng và se. Dược liệu từ cây trồng tương đối mập chắc, đường kính 0 5 cm đến 1,5 cm. Mặt ngoài màu nâu đỏ, có nếp nhăn dọc, phần vỏ bám chặt vào gỗ không dễ bóc ra. Chất chắc, mật bẻ gãy tương đối phẳng, hơi có dạng chất sừng.",Mô tả cụ thể hình dáng của thân rễ Đan sâm?,COMPLEX,"The question requires synthesizing information from multiple, non-consecutive parts of the text to describe the specific shape of the rind and texture of the root of Dang Shen."
"Ăn uống không tiêu, nôn ói, tiêu chảy. Dùng bài Thảo quả bình vị tán: Thảo quả (nướng) 5g, Thương truật, Hậu phác, Trần bì, Sinh khương đều 10g, Cam thảo 3g, Đại táo 3 quả sắc uống.",Thảo quả bình vị tán có công dụng gì?,SIMPLE,The answer is explicitly stated in the context as the功效 (công dụng) of the herbal formula.
