Context,Question,Chosen_Strategy,Model_Reason
"Thuốc Acyclovir Stella 800 mg được sản xuất bởi Công ty TNHH Liên Doanh Stellapharm. Thuốc ở dạng viên nén, có thành phần chính là acyclovir. Hoạt chất này có tác dụng điều trị nhiễm virus Herpes simplex, bệnh zona và bệnh thuỷ đậu.",Thành phần chính có trong thuốc Acyclovir Stella 800 mg là gì?,SIMPLE,"The answer is explicitly stated in the context as ""Hoạt chất này có tác dụng điều trị nhiễm virus Herpes simplex, bệnh zona và bệnh thuỷ đậu."" (The active ingredient has the effect of treating herpes simplex"
"Thuốc Bioflora nên được bảo quản ở nơi khô ráo, tránh ẩm, nhiệt độ dưới 30°C, tránh ánh sáng. Để xa tầm tay trẻ em. Không dùng thuốc quá thời hạn sử dụng Thuốc Bioflora (saccharomyces boulardii) là loại thuốc điều trị tiêu chảy cấp, dùng được cho cả người lớn và trẻ em. Trên đây là những thông tin tham khảo từ YouMed về thuốc Bioflora. Nếu có bất cứ vấn đề gì liên quan, hãy liên hệ với bác sĩ hay dược sĩ để được tư vấn cụ thể.",Thuốc Bioflora có thể dùng cho những đối tượng nào?,SIMPLE,The question can be directly answered by extracting information from the text that explicitly states the drug's usage for both adults and children.
"Vui lòng cho bác sĩ hoặc dược sĩ của bạn biết nếu bạn đang dùng hoặc gần đây đã sử dụng bất kỳ loại thuốc nào khác, bao gồm: - Azathioprine hoặc các loại thuốc khác ức chế hệ thống miễn dịch của bạn – được chỉ định sau khi thực hiện cấy ghép.
- Cholestyramine – được sử dụng để điều trị cholesterol cao.
- Rifampicin – một loại kháng sinh được sử dụng để ngăn ngừa và điều trị các bệnh nhiễm trùng như bệnh lao.
- Thuốc điều trị các bệnh về dạ dày: esomeprazol, pantoprazol.
- Kháng sinh – dùng để điều trị nhiễm khuẩn.
- Isavuconazole – được sử dụng để điều trị nhiễm nấm.
- Telmisartan – dùng để điều trị tăng huyết áp.",Có thể sử dụng CellCept với Azathioprine hay không?,SIMPLE,The question can be directly answered by referring to the information provided about Azathioprine and CellCept in the context.
"Bệnh có thể lây lan sang các bộ phận khác của cơ thể, bao gồm: - Tay: Những người cào gãi hoặc chọc ngoáy vào các vị trí bị nhiễm nấm của bàn chân có thể bị nhiễm trùng tương tự ở một trong hai bàn tay của họ.
- Móng: Các loại nấm liên quan đến bệnh nấm da chân cũng có thể lây nhiễm sang móng chân của bạn. Đây là một vị trí có xu hướng khó điều trị hơn.
- Vùng bẹn: Nấm bẹn thường do cùng một loại nấm gây ra bệnh nấm da chân. Tình trạng nhiễm trùng thường lây lan từ chân đến bẹn vì nấm có thể di chuyển từ tay hoặc trên khăn của bạn.",Bệnh nấm da chân có thể lây lan sang những bộ phận nào của cơ thể?,COMPLEX,"The answer requires synthesizing information from multiple, non-consecutive parts of the text to form a comprehensive list of affected body parts."
"Theo hệ Dược học Viện Nghiên cứu Y học Bắc kinh năm 1958, trong Địa cốt bì có: - 0,08% ancaloit (kukoamin) và dipeptide là lyciumamid.
- 1,07% saponin không có phản ứng anthraglucozit và tanin.",Ancaloit và dipeptide được tìm thấy trong Địa cốt bì là hợp chất gì?,SIMPLE,The answer can be directly extracted from the given context as it explicitly states the composition of Địa cốt bì.
"Một số nguyên nhân ít gặp hơn có thể gây ra tình trạng tăng Acid uric máu bao gồm: - Mắc các bệnh như: suy giáp, đái tháo đường, bệnh vảy nến.
- Tình trạng thừa cân, béo phì.
- Uống quá nhiều rượu bia hoặc các thức uống có cồn.
- Sử dụng thường xuyên thuốc lợi tiểu và thuốc ức chế miễn dịch.
- Huyết áp cao.
- Phơi nhiễm chì, thủy ngân, thuốc trừ sâu,…",Những nguyên nhân nào khác ngoài tác dụng phụ của thuốc có thể gây tăng Acid uric máu?,SIMPLE,"The question can be directly answered by extracting information from the given context, which explicitly lists alternative causes beyond drug side effects."
"Hoạt động thần kinh trung ương: Chống trầm cảm, chống động kinh, giải lo âu. Hoạt động hóa học từ dịch chiết lá cho thấy có khả năng chống viêm, viêm khớp, chống vi khuẩn, chống loét. Thông qua ức chế prostaglandin. Kháng với một số loại độc côn trùng.",Hoạt động hóa học của dịch chiết từ lá rau muống có khả năng mang lại những hiệu quả gì?,SIMPLE,"The question can be directly answered by the information provided in the context, which states that the activity of the leaf extract has the ability to anti-inflammatory, anti-joint inflammation, anti-bacteria, anti-ulcer."
"Dướng là loài cây khá quen thuộc, phân bố rộng rãi khắp nơi, từ vùng núi cao dưới 1000m đến vùng trung du, đồng bằng và hải đảo. Cây ưa sáng, mọc nhanh và có thể sống được trên nhiều loại đất. Quả chín có vị ngọt, là thức ăn của chim và nhiều loại gặm nhấm. Hạt giống qua phân của các loài động vật này phân tán khắp nơi. Từ thời cổ xưa, người Trung quốc và Nhật Bản đã sử dụng vỏ của các loại Dướng để làm giấy. Lá non được đồng bào vùng Tây Bắc nước ta dùng làm rau nuôi lợn, trâu bò…",Cây Dướng ưa sáng có đặc điểm gì?,SIMPLE,The answer can be directly extracted from the text as it explicitly states the preference for light (ưa sáng) and other general characteristics of the tree.
"Khi quá liều Alzental Shinpoong, bệnh nhân sẽ có triệu chứng như phản ứng sốc phản vệ, phát ban, rụng tóc nhiều. Nhiều biểu hiện nghiêm trọng hơn nhiều như suy giảm bạch cầu, suy giảm chức năng gan.4 Do đó, hãy đến bệnh viện ngay lập tức và mang theo thuốc để bác sĩ có thể tìm lí do dễ dàng và xử trí kịp thời.",Người dùng quá liều Alzental Shinpoong cần mang theo những gì khi đến bệnh viện?,SIMPLE,"The context explicitly states that the person should bring the medication to the doctor, making it a direct instruction."
"Phần trên mặt đất của Mào gà trắng chứa 21,51% protein, nhiều K, isoflavone. Trong hạt Mào gà trắng có chứa chất béo, các chất khác và hoạt chất như Polysaccharid acid là celosian với tác dụng bảo vệ gan. Cây Mào gà đỏ chứa kaempfertrin, amaranthin, purit.",Cây hoa mào gà thành phần có chất gì để có tác dụng chữa bệnh?,COMPLEX,"The question requires synthesizing information from multiple, non-consecutive parts of the text to identify the specific components that have a therapeutic effect. The text mentions that the Mào gà đỏ (red mung bean) contains"
